Fa -> Fb & Fb -> Fc & Fc -> Fd & Fd -> Fh, F & a F & b F & c F & d F h
(!b U a), & U ! b a F b
Fa & Fb, & U ! b a F b
!((b & !a) U a) & (Fa -> Fb), & U ! b a F b
(!b U a) & Fa & Fb, & U ! b a F b
(!a U b) & Fb, & U ! b a F b
G(a), G F a
G(Fa), G F a
F a & GF a, G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(A), G F a
G(a), G F a
G(F landmark), G F a
Fa -> Fb, & U ! b a F b
Fa & Fb, & U ! b a F b
Fa => Fb, & U ! b a F b
(a U b) & (!b U a), & U ! b a F b
Fa & (a -> Fb), & U ! b a F b
(!b U a) & (!c U b) & (!d U c) & (!h U d) & G(h), F & a F & b F & c F & d F h
(a & (!b U a) & (!c U b) & (!d U c) & (!h U d)), F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d), F & a F & b F & c F & d F h
(!b U a) & (!c U (a & b)) & (!d U (a & b & c)) & (!h U (a & b & c & d)) & Fh, F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d), F & a F & b F & c F & d F h
F(a & Fb), & U ! b a F b
(!b U a), & U ! b a F b
(!b U a), & U ! b a F b
a -> (Fa -> Fb), & U ! b a F b
Fa & Fb, & U ! b a F b
(!b U a) & (!c U b) & (!d U c), & U ! b a & U ! c b & U ! d c F d
(!B U A) & (!C U B) & (!D U C), & U ! b a & U ! c b & U ! d c F d
(!b U a) & (!c U b) & (!d U c), & U ! b a & U ! c b & U ! d c F d
(!b U a) & (!c U b) & (!d U c), & U ! b a & U ! c b & U ! d c F d
(!b U a) & (!c U b) & (!d U c) & Fd, & U ! b a & U ! c b & U ! d c F d
(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh, F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh, F & a F & b F & c F & d F h
Fa -> Fb & (a -> Fb) -> Fc & (b -> Fc) -> Fd & (c -> Fd) -> Fh, F & a F & b F & c F & d F h
Fa -> Fb -> Fc -> Fd -> Fh, F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh, F & a F & b F & c F & d F h
(!b & !c & !d U a) & (!c & !d U b) & (!d U c) & Fd, & U ! b a & U ! c b & U ! d c F d
Fa & (!b U a) & (!c U (a & b)) & (!d U (a & b & c)), & U ! b a & U ! c b & U ! d c F d
Fa -> Fb & Fb -> Fc & Fc -> Fd, & U ! b a & U ! c b & U ! d c F d
(!b U a) & (!c U b) & (!d U c) & Fa, & U ! b a & U ! c b & U ! d c F d
(!b U a) & (Fc | (c & Fd)) & Fd, & U ! b a & U ! c b & U ! d c F d
G(a), G F a
G(a), G F a
GFa, G F a
eans that it is always true that in the future, we will eventually visit landmark , G F a
G(a), G F a
G(a) & G(b), & G F a G F b
G(Fa & Fb), & G F a G F b
G(a) & G(b), & G F a G F b
F(time > t) -> (FA | FB), & G F a G F b
G(a & b), & G F a G F b
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
G(a), G F a
eans that globally, at every moment in time, we either eventually reach b from a or eventually reach a from , & G F a G F b
G(a & b), & G F a G F b
Ga & Gb, & G F a G F b
G(a & b), & G F a G F b
G(a & b), & G F a G F b
G(a & b), & G F a G F b
G(Fa & Fb) & G(Fb & Fa), & G F a G F b
G(a & b), & G F a G F b
G(Fa & Fb), & G F a G F b
G(a) & G(b), & G F a G F b
G(a), G F a
G(a), G F a
GF(GFa), G F a
nformation, we cannot translate it into an LTL formul, G F a
G(a), G F a
G(a & b), & G F a G F b
G(a) & G(b), & G F a G F b
G(a & b), & G F a G F b
G(Fa & Fb), & G F a G F b
eans that we must eventually visit landmark a and then landmark b, and then keep repeating this pattern foreve, & G F a G F b
(!b U a) & (!c U b) & (!d U c) & (!h U d), F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d), F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh, F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d), F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh, F & a F & b F & c F & d F h
Fa -> Fb, & U ! b a F b
Fa U Fb, & U ! b a F b
((a -> (b | c | d))) & ((b -> (c | d))) & Fd & (a W a) & (b W b & !a) & (c W c & !a & !b), & U ! b a & U ! c b & U ! d c F d
G(a) & G(b), & G F a G F b
G(a & b), & G F a G F b
G(a) & G(b), & G F a G F b
G(a & b), & G F a G F b
(!b U a) & (!c U b) & (!d U c) & (!h U d) & Fh, F & a F & b F & c F & d F h
(!b U a) & (!c U b) & (!d U c) & Gh, F & a F & b F & c F & d F h
F(a & F(b & F(c & F(d & Fh))))), F & a F & b F & c F & d F h
Fa & F(b & c & d) & (b -> (Fc & Fd)) & (c -> Fd) & Fd, & U ! b a & U ! c b & U ! d c F d
a -> Fb & b -> Fc & c -> Fd, & U ! b a & U ! c b & U ! d c F d
