instruction,ltl
reach a,F a
make you way to a,F a
move to a,F a
go to a,F a
find a,F a
go to a,F a
eventually you must go to a,F a
make sure you visit a at least once,F a
stop by a,F a
go to a,F a
head to a,F a
find a,F a
walk to a,F a
reach a,F a
visit a,F a
navigate to a,F a
go to a and b in any order,& F a F b
go to a and b,& F a F b
pick one from a and b go there and then head to the other one,& F a F b
eventually reach a and b,& F a F b
visit a and b in any order,& F a F b
visit both a and b,& F a F b
go to one of a and b and then to the other,& F a F b
find a and b,& F a F b
reach a reach b,& F a F b
sometime along the way go to a and b,& F a F b
make sure both a and b are visited,& F a F b
stop by a and b,& F a F b
reach a and b in any order,& F a F b
visit a and b in any order,& F a F b
go to a and go to b,& F a F b
move to a and b,& F a F b
move to a and b in any order,& F a F b
go to the following locations a b and c,& F a & F b F c
visit c a and b in no specific order,& F a & F b F c
move to abc in any order,& F a & F b F c
visit a b and c in any order,& F a & F b F c
eventually reach a c and b,& F a & F b F c
visit a b and c in arbitrary order,& F a & F b F c
visit a b and c in any order,& F a & F b F c
head to a b and c in any order,& F a & F b F c
in any order you like go to a b and c,& F a & F b F c
you must go to c a and b at least once,& F a & F b F c
visit all three locations a b and c,& F a & F b F c
go to all of a b and c,& F a & F b F c
please visit a b and c in any order,& F a & F b F c
visit abc in any order,& F a & F b F c
when you have the chance can you go to a c and b,& F a & F b F c
make sure a b and c are all visited,& F a & F b F c
do not stop until a b and c are visited,& F a & F b F c
reach a b and c,& F a & F b F c
go to a b and c,& F a & F b F c
walk to a b and c in an arbitrary order,& F a & F b F c
go to a b c and d in arbitrary order,& F a & F b & F c F d
move to abc and d in any order,& F a & F b & F c F d
go to a go to b got to c and go to d,& F a & F b & F c F d
move to abcand d in any order,& F a & F b & F c F d
stop by abc and d in any order,& F a & F b & F c F d
stop by abc and d in any order,& F a & F b & F c F d
in no particular order visit a b c and d,& F a & F b & F c F d
visit a b c and d,& F a & F b & F c F d
visit abc and d in any order,& F a & F b & F c F d
reach all the following locations a b c and d,& F a & F b & F c F d
make your way to a b c and d,& F a & F b & F c F d
visit a b c and d the order is not important,& F a & F b & F c F d
make sure a b c and d are all visited,& F a & F b & F c F d
visit abc and d in any order,& F a & F b & F c F d
visit a b c and d in no particular order,& F a & F b & F c F d
do not stop until a b c d and h are all visited,& F a & F b & F c & F d F h
visit a b c d h in any order required,& F a & F b & F c & F d F h
find the following a b c d h,& F a & F b & F c & F d F h
eventually go visit a b h d and c,& F a & F b & F c & F d F h
sometime visit a c b h and d,& F a & F b & F c & F d F h
make your way to a b c d and h,& F a & F b & F c & F d F h
go to a go to b go to c go to d go to h,& F a & F b & F c & F d F h
reach the following five locations a b c d h,& F a & F b & F c & F d F h
visit a b c d and h,& F a & F b & F c & F d F h
go to a b c d and h,& F a & F b & F c & F d F h
visit all locations a b c d h,& F a & F b & F c & F d F h
move to a then move to b,F & a F b
go to a then go to b,F & a F b
reach a then go to b,F & a F b
visit a visit b after that,F & a F b
go to a and move on to b once you have been to a,F & a F b
go to a and sometime afterward visit b,F & a F b
after you visit a go to b,F & a F b
go to a then reach b,F & a F b
go to a then b,F & a F b
go to a and then go to b,F & a F b
