Parsed_output, Ground_truth, LTL_type, Num_props, Instruction, Model_output

Fa & (!F(a)), F a, visit, 1, stop at a, Fa & (!F(a))

GFa & GFb, & F a F b, visit, 2, make sure to go to both a and b at least once, GFa & GFb

GF(a & b), & F a F b, visit, 2, visit a and b in any order, GF(a & b)

GF(a & Fb) | GF(b & Fa), & F a F b, visit, 2, go to a and b in an arbitrary order, GF(a & Fb) | GF(b & Fa)

GF(a & b), & F a F b, visit, 2, visit a and b in any order, GF(a & b)

(Fa & !Fb) | (!Fa & Fb), & F a F b, visit, 2, pick one from a and b go there and then head to the other one, (Fa & !Fb) | (!Fa & Fb)

F(a & b), & F a F b, visit, 2, sometime along the way go to a and b, F(a & b)

F(a & Fb) & F(b & Fa), & F a F b, visit, 2, go to one of a and b and then to the other, F(a & Fb) & F(b & Fa)

GF(a & Gb) & GF(b & Ga), & F a F b, visit, 2, go to b and a in any order, GF(a & Gb) & GF(b & Ga)

F(a & Fb), & F a F b, visit, 2, go to a and go to b, F(a & Fb)

GF(a & Fb) & GF(b & Fa), & F a F b, visit, 2, move to a and b in any order, GF(a & Fb) & GF(b & Fa)

GF(a & F(b & Fc)) & GF(b & F(a & Fc)) & GF(c & F(a & Fb)), & F a & F b F c, visit, 3, head to a b and c in any order, GF(a & F(b & Fc)) & GF(b & F(a & Fc)) & GF(c & F(a & Fb))

GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa)), & F a & F b F c, visit, 3, in any order you like go to a b and c, GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa))

F(a & F(b & Fc)), & F a & F b F c, visit, 3, go to the following locations a b and c, F(a & F(b & Fc))

G(a & b & c), & F a & F b F c, visit, 3, do not stop until a b and c are visited, G(a & b & c)

GFa & GFb & GFc, & F a & F b F c, visit, 3, move to a b and c in any order, GFa & GFb & GFc

GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa)), & F a & F b F c, visit, 3, visit a b and c in any order, GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa))

