instruction,ltl,pattern_type,props
visit a,F a,visit,['a']
visit b,F b,visit,['b']
visit c,F c,visit,['c']
visit d,F d,visit,['d']
visit h,F h,visit,['h']
reach a,F a,visit,['a']
reach b,F b,visit,['b']
reach c,F c,visit,['c']
reach d,F d,visit,['d']
reach h,F h,visit,['h']
eventually you must go to a,F a,visit,['a']
eventually you must go to b,F b,visit,['b']
eventually you must go to c,F c,visit,['c']
eventually you must go to d,F d,visit,['d']
eventually you must go to h,F h,visit,['h']
visit a and b,& F a F b,visit,"['a', 'b']"
visit a and c,& F a F c,visit,"['a', 'c']"
visit a and d,& F a F d,visit,"['a', 'd']"
visit a and h,& F a F h,visit,"['a', 'h']"
visit b and a,& F b F a,visit,"['b', 'a']"
visit b and c,& F b F c,visit,"['b', 'c']"
visit b and d,& F b F d,visit,"['b', 'd']"
visit b and h,& F b F h,visit,"['b', 'h']"
visit c and a,& F c F a,visit,"['c', 'a']"
visit c and b,& F c F b,visit,"['c', 'b']"
visit c and d,& F c F d,visit,"['c', 'd']"
visit c and h,& F c F h,visit,"['c', 'h']"
visit d and a,& F d F a,visit,"['d', 'a']"
visit d and b,& F d F b,visit,"['d', 'b']"
visit d and c,& F d F c,visit,"['d', 'c']"
visit d and h,& F d F h,visit,"['d', 'h']"
visit h and a,& F h F a,visit,"['h', 'a']"
visit h and b,& F h F b,visit,"['h', 'b']"
visit h and c,& F h F c,visit,"['h', 'c']"
visit h and d,& F h F d,visit,"['h', 'd']"
visit b and a,& F a F b,visit,"['a', 'b']"
visit c and a,& F a F c,visit,"['a', 'c']"
visit d and a,& F a F d,visit,"['a', 'd']"
visit h and a,& F a F h,visit,"['a', 'h']"
visit a and b,& F b F a,visit,"['b', 'a']"
visit c and b,& F b F c,visit,"['b', 'c']"
visit d and b,& F b F d,visit,"['b', 'd']"
visit h and b,& F b F h,visit,"['b', 'h']"
visit a and c,& F c F a,visit,"['c', 'a']"
visit b and c,& F c F b,visit,"['c', 'b']"
visit d and c,& F c F d,visit,"['c', 'd']"
visit h and c,& F c F h,visit,"['c', 'h']"
visit a and d,& F d F a,visit,"['d', 'a']"
visit b and d,& F d F b,visit,"['d', 'b']"
visit c and d,& F d F c,visit,"['d', 'c']"
visit h and d,& F d F h,visit,"['d', 'h']"
visit a and h,& F h F a,visit,"['h', 'a']"
visit b and h,& F h F b,visit,"['h', 'b']"
visit c and h,& F h F c,visit,"['h', 'c']"
visit d and h,& F h F d,visit,"['h', 'd']"
sometime along the way go to a and b,& F a F b,visit,"['a', 'b']"
sometime along the way go to a and c,& F a F c,visit,"['a', 'c']"
sometime along the way go to a and d,& F a F d,visit,"['a', 'd']"
sometime along the way go to a and h,& F a F h,visit,"['a', 'h']"
sometime along the way go to b and a,& F b F a,visit,"['b', 'a']"
sometime along the way go to b and c,& F b F c,visit,"['b', 'c']"
sometime along the way go to b and d,& F b F d,visit,"['b', 'd']"
sometime along the way go to b and h,& F b F h,visit,"['b', 'h']"
sometime along the way go to c and a,& F c F a,visit,"['c', 'a']"
sometime along the way go to c and b,& F c F b,visit,"['c', 'b']"
sometime along the way go to c and d,& F c F d,visit,"['c', 'd']"
sometime along the way go to c and h,& F c F h,visit,"['c', 'h']"
sometime along the way go to d and a,& F d F a,visit,"['d', 'a']"
sometime along the way go to d and b,& F d F b,visit,"['d', 'b']"
sometime along the way go to d and c,& F d F c,visit,"['d', 'c']"
sometime along the way go to d and h,& F d F h,visit,"['d', 'h']"
sometime along the way go to h and a,& F h F a,visit,"['h', 'a']"
sometime along the way go to h and b,& F h F b,visit,"['h', 'b']"
sometime along the way go to h and c,& F h F c,visit,"['h', 'c']"
sometime along the way go to h and d,& F h F d,visit,"['h', 'd']"
eventually reach a and b,& F a F b,visit,"['a', 'b']"
eventually reach a and c,& F a F c,visit,"['a', 'c']"
eventually reach a and d,& F a F d,visit,"['a', 'd']"
eventually reach a and h,& F a F h,visit,"['a', 'h']"
eventually reach b and a,& F b F a,visit,"['b', 'a']"
eventually reach b and c,& F b F c,visit,"['b', 'c']"
eventually reach b and d,& F b F d,visit,"['b', 'd']"
eventually reach b and h,& F b F h,visit,"['b', 'h']"
eventually reach c and a,& F c F a,visit,"['c', 'a']"
